artist,title,play_count,mbid
Japanese Breakfast,Be Sweet,198,36f34cff-827b-4f7e-803f-d4044cb9ec37
Alvvays,Pharmacist,197,87e37afd-861a-4225-a208-808c1e844810
SZA,Love Galore (feat. Travis Scott),197,431a947e-9bd7-4278-a454-10ce33a889d0
Phoebe Bridgers,DVD Menu,195,20d69824-a223-401c-ba4b-13ccb3ac42b9
Phoebe Bridgers,Garden Song,195,2d157b9d-d4f3-4354-a575-dd43d9429033
Phoebe Bridgers,Punisher,194,0a180e3e-5766-420c-a6bf-cda1ae91dd98
Mitski,Your Best American Girl,193,53ad291b-8745-4b9a-8217-3b91179427d1
SZA,The Weekend,193,2e9ba5db-39eb-44cc-81f7-c59820d3ef97
Frank Ocean,Futura Free,192,28c1872e-c83d-4683-ba1b-81b2da89a09c
Maggie Rogers,Say It,191,d41b6baa-5163-4b67-897e-aecc26c7cb71
Phoebe Bridgers,Halloween,191,0175a2d7-a52d-4159-b5f9-c09ecc37e20e
Frank Ocean,Chanel,190,60529487-e918-438f-847a-27b52f30bd80
orion sun,El Camino,190,843ee1f7-0700-41d0-a476-e34d04a6ddc4
Soccer Mommy,Your Dog,190,c1128a68-cab3-43ae-ae7a-06b25e67d8ad
The Strokes,Last Nite,190,58e19c9a-1f52-4da4-965f-5a57aa06ec80
Clairo,Bags,189,9433df6b-037b-41f8-9edf-0e8c9ffaf390
Mitski,Happy,188,cbb1ae16-9795-4648-b19a-f39662ea0847
Tame Impala,Borderline,188,6c337c9d-8637-4720-9af2-d914019149b8
Phoebe Bridgers,Savior Complex,187,18cbec5d-f36f-4e92-b38c-6443a33b342a
Alvvays,Not My Baby,186,5198f4ff-1d7d-4e03-93fe-fc6267cec902
Vince Staples,Norf Norf,186,18bea2d3-2269-4799-957c-637dc5263825
The Strokes,Someday,184,52f1c968-8e96-4ab1-930a-ca90e9a5129e
Lorde,Perfect Places,182,399a9829-cdcb-4acf-870f-677382354440
Phoebe Bridgers,Graceland Too,182,2d55f1e1-bf0c-4625-b015-dbc1daf8bd08
Frank Ocean,Provider,181,2dbe8e9a-7a5f-4cad-8c32-e1f4a33aa8c2
Phoebe Bridgers,Moon Song,181,21966d55-6e8d-4627-b986-d60d4200a76b
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,180,a66aa513-1476-4a25-bcaa-9f465cde285a
The Weeknd,After Hours,179,be86feb1-e0c3-4bed-ba52-0cda476f79a7
TV Girl,Lovers Rock,177,0a12c26b-c3be-4c9e-a963-a8719f7f2dcc
Dominic Fike,Babydoll,176,5b2e8994-f2cb-48c3-b5d3-e7d4351f7a9e
The Strokes,The Modern Age,176,f4edb702-2774-4e1a-81e6-3fdfe807886d
Alvvays,Easy On Your Own?,175,f56f43f1-ba07-4808-82e1-6102e43bcc15
Lorde,Hard Feelings/Loveless,175,2bdd80a5-2f33-42dd-9247-92ad6bf52f00
Lorde,Liability,175,a46fe5f7-fb2f-4f59-afae-53862b3850f6
The Strokes,Is This It,175,bbbeb6db-b630-413f-857d-c3726d946172
The Strokes,Hard to Explain,174,2bf2a151-07dd-4a0a-9356-61b82509e458
Snail Mail,Speaking Terms,173,6ea5d417-1924-4210-8a79-1b7007b4f828
Men I Trust,Pines,172,0abc6384-8a4e-4141-9de3-953a562be6a4
orion sun,Ne Me Quitte Pas (Don't Leave Me),172,31954c19-a149-4a7f-99f3-a57d9d997c70
The Japanese House,We Talk all the Time,172,1a702abc-88e1-43bc-b404-021e98f0b796
Japanese Breakfast,"Kokomo, IN",171,8c7e7ec8-05dc-4c80-b0ab-64cf94ab2f21
Samia,Is There Something in the Movies?,171,0dc8cebc-31f1-48a1-8ada-26965da8fd76
Anderson .Paak,King James,170,118b9c18-e8e0-4fa4-b990-7abf3d762cf7
Mazzy Star,Fade Into You,170,
The Japanese House,Maybe You're the Reason,170,eb5aa44c-cb37-474f-b728-68a6689a0dd8
Wolf Alice,Smile,169,18898f63-bdfb-457c-9afa-7388bed7b16b
Alvvays,Belinda Says,168,e450fd6d-f7a7-4098-9643-855d14bb7218
Day Wave,Potions,168,510aada5-1518-4d7a-ad35-814a34bafb7c
Anderson .Paak,Celebrate,167,5b0ddf48-62bf-4ece-be61-9151fdf9bd7b
Anderson .Paak,Make It Better (feat. Smokey Robinson),167,
Angie McMahon,Keeping Time,167,974584dc-fb86-4667-ac36-b645ce043018
Car Seat Headrest,Cute Thing,167,80e5423e-6079-4652-9ae3-97f2039e3248
Frank Ocean,Sweet Life,167,223f8406-01c3-45f3-886c-cbc2124d76ca
Car Seat Headrest,Drunk Drivers/Killer Whales,166,697bbe2b-c133-49d6-8c25-5f1a4487dbcd
Frank Ocean,Lens,166,b156c296-5b9b-487c-bb48-dcd27c74db31
Frank Ocean,Swim Good,166,53c6bb24-6604-458a-9a78-3e6b6c5e438a
Men I Trust,Show Me How,166,1f8b68f0-7849-47cf-961c-7cca7fbf9fcb
Frank Ocean,Biking,165,
